,resolution,projected_create_bins,projected_create_kernels,calc_ft_data,projected_create_Cm_coeffs,calc_zeta
0,32,0.0010040000000000049,0.012506000000000128,0.00012599999999984846,0.006314000000000153,0.46342000000000017
1,48,0.0008659999999998114,0.017755999999999883,0.000364000000000253,0.012642000000000042,0.8289300000000002
2,64,0.0009959999999997748,0.02414000000000005,0.00047999999999959186,0.013843999999999745,2.279072
3,96,0.0013460000000007355,0.04326199999999947,0.0005879999999995889,0.03016799999999975,4.970364000000001
4,128,0.002373999999999654,0.07330600000000054,0.0010900000000013677,0.04714799999999997,9.567196000000001
5,160,0.002193999999999363,0.10319000000000145,0.0019999999999988916,0.0730920000000026,14.415929999999996
6,192,0.0028779999999954953,0.1354339999999965,0.003467999999998028,0.09953799999999546,23.573068
7,224,0.004039999999996269,0.172623999999999,0.004388000000005832,0.14280399999999815,32.391526
8,256,0.005058000000005336,0.22987400000000946,0.005606000000000222,0.2017799999999994,42.266087999999996
