,m_max,nbins,projected_create_bins,projected_create_kernels,calc_ft_data,projected_create_Cm_coeffs,calc_zeta
0,5,2,0.0019344709999999932,0.025202924000000015,0.0010908499999999766,0.01632467400000004,3.344299999996636e-05
1,5,3,0.0009838479999999539,0.032626434000000204,0.0010966720000000763,0.025001281999999847,0.04560317299999994
2,5,4,0.0009966519999999868,0.0417970190000001,0.0011065199999999997,0.03275118999999993,0.18018625700000013
3,5,5,0.0010712930000000842,0.05020682099999996,0.0011032239999999582,0.04079230299999992,0.45307366800000004
4,5,6,0.0011516360000001225,0.06019377599999998,0.01432435700000001,0.04956757699999992,0.9043607760000003
5,5,7,0.0012431999999997778,0.07204240399999984,0.001980709000000136,0.06059948600000009,1.5811481840000003
6,5,8,0.0013977829999998193,0.0766919589999997,0.0011282320000001178,0.06694291600000035,2.5421772249999997
7,6,2,0.0009511450000001531,0.02736656100000001,0.0011344930000003473,0.019032372999999936,4.694899999968527e-05
8,6,3,0.0009740489999998658,0.03748072700000016,0.0011059890000000294,0.03352030000000017,0.06540366399999975
9,6,4,0.0011648310000005324,0.04899764600000012,0.0011211070000003431,0.040861433999999974,0.26142335199999955
10,6,5,0.0010954190000003194,0.058094241000000046,0.0011174009999983525,0.04895969400000055,0.6534402679999989
11,6,6,0.0011375590000000102,0.06843509700000006,0.0011115900000007173,0.05843453700000012,1.3108257020000007
12,6,7,0.0012014199999992314,0.0784384229999997,0.0011193649999992061,0.0694951390000007,2.3043451069999996
13,6,8,0.001343549999999638,0.08885008500000069,0.001128722999998999,0.07725538799999931,3.6700065959999986
14,7,2,0.00177130200000164,0.03016962099999887,0.0011053479999993954,0.021848428000001974,4.153899999792543e-05
15,7,3,0.0010008200000015677,0.04325173000000149,0.0013051170000011325,0.033191245999997676,0.08988903699999895
16,7,4,0.0010512650000009671,0.056447815999998596,0.0011105580000005943,0.04663592400000027,0.35479547999999994
17,7,5,0.0011134430000012685,0.06650199799999967,0.001129131999999089,0.05574454099999926,0.891114083999998
18,7,6,0.0011824649999994108,0.07847724699999858,0.0011317879999985792,0.06662601399999701,1.7817672019999975
19,7,7,0.0012472979999991196,0.08982023600000133,0.0011349339999995323,0.07781843699999769,3.1229338309999974
20,7,8,0.0017235709999994242,0.10367986099999982,0.0011526780000004067,0.08693763400000165,4.9977698329999996
21,8,2,0.0010211479999995277,0.036664608000002374,0.0011240729999997257,0.024350346000002077,4.795099999910235e-05
22,8,3,0.0010194150000017999,0.048871145999999754,0.0010727059999986466,0.039326370000001276,0.11645510800000025
23,8,4,0.0010790080000013802,0.0617747460000011,0.0011132029999991744,0.052560076999998984,0.4698832720000006
24,8,5,0.0011292239999995957,0.07546695300000295,0.0011505339999970943,0.06250553399999959,1.1716880130000007
25,8,6,0.0011990060000002245,0.08867727700000216,0.0011478589999995847,0.07428599200000008,2.3417130600000036
26,8,7,0.0012451629999929992,0.10128175900000258,0.0011120400000024233,0.08609180900000268,4.088113187000005
27,8,8,0.0013422880000035775,0.11483822900000007,0.0011170100000015282,0.09874636700000394,6.5398970689999985
28,9,2,0.0009373600000017746,0.03856402299999928,0.0011153670000041416,0.0275908460000025,4.250099999580925e-05
