,ell_max,nbins,create_XYZR,create_radial_bins,calc_ft_data,calc_and_save_YLMs,bin_spherical_harmonics,calc_a_lm_coeffs,calc_zeta
0,0,2,0.504205668,0.08030648099999982,0.6458355770000002,6.848925354,2.4734904980000003,2.571240262,0.7716881559999997
1,0,3,0.5079160069999986,0.09572659500000036,0.6418182259999998,6.728129901999999,3.5161780379999996,3.9273965590000017,2.0900513230000044
2,0,4,0.5276713419999979,0.13481223499999828,0.621507145999999,6.675448359999997,4.5905729679999965,5.211090940999995,4.901296432000002
3,0,5,0.509288662000003,0.15774752099999745,0.650071576000002,8.106815028000007,6.348539623999997,7.366889412999996,12.165140141000009
4,0,6,0.6541762880000022,0.18280927799999347,0.722677449999992,7.140694642,7.387083313000005,9.442322261000001,20.93985213900001
5,0,7,0.6640768919999971,0.21569641300001763,0.7319145689999971,6.90480976500001,10.859700016999994,9.842332655999996,35.162754278999984
6,0,8,0.6176437130000068,0.24178482199999962,0.7020491090000007,6.718560572000001,10.443842630000006,11.619349647000007,61.31410007599999
7,0,9,0.6333475249999765,0.2956945019999466,0.7465418060000388,9.954927387000055,11.260456525999984,12.330478710000023,68.07297650800001
8,1,2,0.6897245800000178,0.06459215300003507,0.7812711729999933,7.830851372999973,9.214325652000014,8.56271703699997,8.13493643199996
9,1,3,0.6693181930000378,0.09667098199997781,0.7307755369999995,6.922689098000035,12.890996862999998,12.14052689500005,21.781664696000007
10,1,4,0.7126975059999836,0.16695810999999594,0.8053934490000074,7.931821723000041,15.126558336999949,16.403556672000036,54.44408278699996
11,1,5,0.6685027849999869,0.15929326000002675,0.6841693259999602,8.130752347999987,20.300093536999952,22.34642287199995,111.14604639000004
12,1,6,0.6668347890000632,0.18187274199999592,0.7358447980000165,8.292202611999983,25.02975744999992,30.538194490000024,175.99189442300008
13,1,7,0.6314144939999551,0.2093403970000054,0.6948514460000297,7.687690229000054,24.706486756000004,28.23663680100003,281.1753171080002
14,1,8,0.6428247000001193,0.23510200700002315,0.69086045500012,7.390864041999976,27.99788364799997,31.666306333999955,421.6011687339999
15,1,9,0.70268180700009,0.2977893839999979,0.780033658000093,7.594162849999975,31.079493676000084,36.33059467299995,602.3955112640001
16,2,2,0.7013269039998704,0.07488173999990977,0.7611259619998236,7.980835227000171,18.869831067000177,17.876085876999696,60.89163743200015
17,2,3,0.6776025899998785,0.11421616400002677,0.7870445630001086,7.459157721999873,24.761594915999922,24.78203452999969,148.9844990710003
18,2,4,0.6463068439998096,0.14812541599985707,0.7431674930003282,8.662335697999879,30.87073787500003,35.31807569800003,322.3458580820002
19,2,5,0.7152707489999557,0.18368282399978852,0.7592888110002605,7.489241659000072,38.570460813999944,48.602669013000195,644.6888987810003
20,2,6,0.7059889229999499,0.20709522800007107,0.7572634500002096,7.502415994999865,46.29569107899988,51.57194975900029,1144.7118894260002
21,2,7,0.7086871789997531,0.266160380000656,0.7938211310001861,7.64489399499962,52.385848269000235,62.655735414000446,1867.7524375880002
22,2,8,0.7592157149993,0.2947775169996021,0.8598221570000533,7.978391765000197,58.07376294700043,70.18576710799971,2767.715358458
23,2,9,0.8196336540004268,0.38714527699994505,0.9237861809997412,9.219314210000448,70.01324545300122,82.13373633899937,3716.978179259
24,3,2,0.5449658239995188,0.06266174000120373,0.6376961410005606,7.565168070999789,27.144580869000492,27.501890591998745,172.6097638880001
25,3,3,0.5596392770003149,0.10042817900102818,0.6582432499999413,7.269145591999404,38.88343324900052,40.894396290999794,450.99591542800044
26,3,4,0.5448636839992105,0.11057954199895903,0.6761334229995555,7.6613619810013915,50.08285980100118,54.21814829499999,1015.4351751020004
27,3,5,0.606828432999464,0.14600432900078886,0.6380663420004566,7.449101459000303,61.783061808999264,67.7757182080004,1965.3887774389987
28,3,6,0.6333747349999612,0.1701091169998108,0.6732008149992907,7.204746226998395,74.8745595879991,86.09174331800023,3371.9714953660005
29,3,7,0.6240542799969262,0.21285193700168747,0.6711849090024771,7.242362826000317,79.56619588800095,90.22135407899987,5438.802155736001
30,3,8,0.6458223730005557,0.23154054400220048,0.6746448220001184,7.7439039100027,96.5098042589998,120.72065558599934,11673.593016618
31,3,9,1.130663050993462,0.4831160159956198,1.0836503120008274,11.496089158994437,158.63501561200246,182.44114864199946,23761.09245505
