,m_max,nbins,projected_create_bins,projected_create_kernels,calc_ft_data,projected_create_Cm_coeffs,calc_zeta
0,5,2,0.0046519999999998785,0.06700699999999982,0.0025580000000000602,0.03789699999999985,0.009805999999999981
1,5,3,0.004299000000000275,0.07983399999999996,0.0025119999999998477,0.05173400000000017,0.027544000000000235
2,6,2,0.0038169999999997373,0.06556899999999999,0.0022860000000002323,0.04333199999999948,0.011136000000000035
3,6,3,0.004122999999999877,0.09110700000000005,0.002586999999999673,0.06358699999999962,0.03276499999999993
