,resolution,create_XYZR,create_radial_bins,calc_ft_data,calc_and_save_YLMs,bin_spherical_harmonics,calc_a_lm_coeffs,calc_zeta
0,32,0.0027319999999999567,0.008420000000000094,0.002990000000000048,0.03019600000000011,0.07198400000000005,0.10366799999999987,0.055984000000000034
1,48,0.006374000000000102,0.0045280000000000875,0.01019799999999993,0.05642199999999997,0.22385400000000022,0.21638199999999985,0.12421000000000015
2,64,0.017527999999999988,0.009580000000000144,0.025488000000000177,0.12799199999999988,0.44058799999999954,0.40164199999999983,0.29563399999999973
3,96,0.056371999999999645,0.024169999999999803,0.07486800000000038,0.3982839999999994,1.4806559999999998,1.3793540000000002,1.0979480000000006
4,128,0.14261999999999908,0.04692400000000063,0.16441399999999895,0.8643339999999995,2.9889460000000003,3.417983999999999,2.839226
5,160,0.24819400000000158,0.08169000000000182,0.4496260000000021,1.7758119999999984,5.668645999999999,5.713620000000002,4.375836
6,192,0.38244399999999956,0.14980800000000016,0.49282200000000387,2.761581999999997,8.609479999999998,9.129669999999997,8.238774
7,224,0.5914960000000065,0.24106600000000356,0.7727320000000049,4.913888,14.936294000000004,16.026078,14.801941999999997
8,256,0.7807740000000081,0.35962200000000166,1.1514899999999955,8.272245999999996,21.584550000000007,28.048460000000006,30.901808000000017
